英文单词名,中文单词名,单词中文描述,所属单元,单词难度等级
nerve,神经,由神经元组成的纤维束（传递神经信号）,Chapter 10 Coordination,中
axon,轴突,神经元长而细的突起（传导神经冲动远离细胞体）,Chapter 10 Coordination,高
dendrite,树突,神经元短而分支的突起（接收神经冲动并传向细胞体）,Chapter 10 Coordination,高
nerve impulse,神经冲动,神经元传递的电信号,Chapter 10 Coordination,中
motor neuron,运动神经元,将神经冲动从脊髓传递到效应器的神经元,Chapter 10 Coordination,高
sensory neuron,感觉神经元,将神经冲动从感受器传递到脊髓的神经元,Chapter 10 Coordination,高
relay neuron,中间神经元,脊髓内连接感觉和运动神经元的神经元,Chapter 10 Coordination,高
voluntary action,自主行为,受大脑控制的有意识行为（如举手）,Chapter 10 Coordination,中
involuntary action,非自主行为,不受意识控制的自动行为（如心跳）,Chapter 10 Coordination,中
reflex action,反射行为,快速、自动的反应（如缩手反射）,Chapter 10 Coordination,中
reflex arc,反射弧,反射活动的神经通路（感受器→传入神经→神经中枢→传出神经→效应器）,Chapter 10 Coordination,高
receptor,受体,接收刺激并产生神经冲动的结构（如皮肤中的触觉受体）,Chapter 10 Coordination,中
effector,效应器,对神经冲动作出反应的结构（如肌肉或腺体）,Chapter 10 Coordination,中
stimuli,刺激物,引起生物体反应的外界或内部因素,Chapter 10 Coordination,中
synapse,突触,神经元之间的连接部位（通过神经递质传递信号）,Chapter 10 Coordination,中
accommodation,调节,眼睛调整焦距看清不同距离物体的能力,Chapter 10 Coordination,高
antagonistic muscles,拮抗肌,成对作用相反的肌肉（如肱二头肌和肱三头肌）,Chapter 10 Coordination,高
ciliary muscle,睫状肌,眼睛中调节晶状体形状的肌肉,Chapter 10 Coordination,高
cornea,眼角膜,眼睛前部的透明结构（聚焦光线进入眼球）,Chapter 10 Coordination,中
iris,虹膜,眼睛中控制瞳孔大小的有色环行肌肉,Chapter 10 Coordination,中
lens,晶状体,眼睛中调节焦距的透明结构（通过睫状肌改变形状）,Chapter 10 Coordination,中
optic nerve,视神经,将视觉信号从视网膜传递到大脑的神经,Chapter 10 Coordination,中
pupil,瞳孔,虹膜中央的开口（控制进入眼球的光量）,Chapter 10 Coordination,低
retina,视网膜,眼球后部含感光细胞的层（将光信号转为神经冲动）,Chapter 10 Coordination,中
suspensory ligaments,悬韧带,连接晶状体和睫状肌的纤维（维持晶状体位置）,Chapter 10 Coordination,高
endocrine glands,内分泌腺,无导管腺体（分泌激素直接进入血液）,Chapter 10 Coordination,中
hormones,激素,由内分泌腺分泌的化学信使（调节生理活动）,Chapter 10 Coordination,中
pituitary gland,垂体,位于脑底部的内分泌腺（分泌多种激素，如生长激素）,Chapter 10 Coordination,高
adrenal gland,肾上腺,肾脏上方的内分泌腺（分泌肾上腺素、皮质醇）,Chapter 10 Coordination,高
adrenaline,肾上腺素,应激激素（提高心率、代谢率，应对紧急情况）,Chapter 10 Coordination,中
ovary,卵巢,女性生殖腺（产生卵细胞和雌激素）,Chapter 10 Coordination,中
oestrogen,雌激素,女性性激素（促进第二性征发育）,Chapter 10 Coordination,中
testis,睾丸,男性生殖腺（产生精子和睾酮）,Chapter 10 Coordination,中
testosterone,睾酮,男性性激素（促进第二性征发育）,Chapter 10 Coordination,中
pancreas,胰腺,兼具外分泌（消化酶）和内分泌（胰岛素）功能的腺体,Chapter 10 Coordination,中
insulin,胰岛素,降低血糖的激素（由胰腺胰岛细胞分泌）,Chapter 10 Coordination,中
thyroid,甲状腺,颈部的内分泌腺（分泌甲状腺素调节代谢）,Chapter 10 Coordination,中
thyroxine,甲状腺素,甲状腺分泌的激素（促进细胞代谢和生长）,Chapter 10 Coordination,中
target organs,靶器官,激素作用的特定器官（如胰岛素作用于肝脏）,Chapter 10 Coordination,高
auxin,生长素,植物激素（促进细胞伸长，调节向光性）,Chapter 10 Coordination,高
gravitropism,向重力性,植物对重力的反应（如根向下生长）,Chapter 10 Coordination,高
phototropism,向光性,植物对光的反应（如茎向光弯曲）,Chapter 10 Coordination,高
tropism,向性,植物对环境刺激的定向生长反应,Chapter 10 Coordination,中
duration,持续时间,此处指刺激或生理过程的时间长度,Chapter 10 Coordination,低
glucagon,胰高血糖素,升高血糖的激素（与胰岛素拮抗）,Chapter 11 Homeostasis,中
glycogen,糖原,储存于肝脏和肌肉的多糖（可分解为葡萄糖）,Chapter 11 Homeostasis,中
negative feedback,负反馈,维持稳态的机制（如体温调节中抑制过热或过冷）,Chapter 11 Homeostasis,中
type 1 diabetes,一型糖尿病,因胰岛细胞受损导致胰岛素缺乏的疾病,Chapter 11 Homeostasis,高
insulation,绝缘/隔热,阻止热量散失的能力（如脂肪组织的保温作用）,Chapter 11 Homeostasis,中
shiver,战栗,骨骼肌不自主收缩（产生热量维持体温）,Chapter 11 Homeostasis,低
vasodilation,血管舒张,血管扩张增加血流量（如体温升高时皮肤血管扩张）,Chapter 11 Homeostasis,高
vasoconstriction,血管收缩,血管缩小减少血流量（如体温降低时皮肤血管收缩）,Chapter 11 Homeostasis,高
endothermic,恒温的,能自主调节体温的生物（如哺乳动物）,Chapter 11 Homeostasis,中
ectothermic,变温的,体温随环境变化的生物（如爬行动物）,Chapter 11 Homeostasis,中
epidermis,表皮,皮肤的外层（保护身体，含角质层）,Chapter 11 Homeostasis,中
dermis,真皮,皮肤的内层（含血管、神经、毛囊等）,Chapter 11 Homeostasis,中
cornified layer,角质层,表皮最外层（由死亡细胞构成，防止水分流失）,Chapter 11 Homeostasis,高
keratin,角蛋白,表皮细胞产生的坚韧蛋白质（构成头发、指甲）,Chapter 11 Homeostasis,高
erector,竖立的,此处指立毛肌（收缩使毛发竖立）,Chapter 11 Homeostasis,高
hair erector muscle,立毛肌,皮肤中使毛发竖立的肌肉（受寒冷或情绪刺激）,Chapter 11 Homeostasis,高
sweat gland,汗腺,皮肤中分泌汗液的腺体（调节体温和排泄）,Chapter 11 Homeostasis,中
receptor,接收器,此处指体温调节中的温度感受器,Chapter 11 Homeostasis,中
fat cell,脂肪细胞,储存脂肪的细胞（构成脂肪组织）,Chapter 11 Homeostasis,低
neuron,神经细胞,见前文描述,Chapter 11 Homeostasis,中
adipose tissue,脂肪层,见前文描述,Chapter 11 Homeostasis,中
venule,微静脉,小静脉（连接毛细血管和静脉）,Chapter 11 Homeostasis,高
arteriole,微动脉,小动脉（连接动脉和毛细血管）,Chapter 11 Homeostasis,高
hypothalamus,下丘脑,脑内调节体温、饥饿等稳态的区域,Chapter 11 Homeostasis,高
prostate gland,前列腺,男性生殖系统腺体（分泌精液成分）,Chapter 12 Reproduction in human,高
sperm duct,精子导管,输送精子的管道（即输精管）,Chapter 12 Reproduction in human,高
epididymis,附睾,睾丸后储存和成熟精子的结构,Chapter 12 Reproduction in human,高
testis,睾丸,见前文描述,Chapter 12 Reproduction in human,中
scrotum,阴囊,包裹睾丸的皮肤囊（调节睾丸温度）,Chapter 12 Reproduction in human,高
urethra,尿道,见前文描述（此处为排尿和排精共用管道）,Chapter 12 Reproduction in human,中
penis,阴茎,男性外生殖器官（含尿道，用于交配和排尿）,Chapter 12 Reproduction in human,低
fallopian tube,输卵管,女性连接卵巢和子宫的管道（受精场所）,Chapter 12 Reproduction in human,中
oviduct,输卵管,同fallopian tube,Chapter 12 Reproduction in human,中
ovary,卵巢,见前文描述,Chapter 12 Reproduction in human,中
ovulation,排卵,卵巢释放卵细胞的过程（月经周期中期）,Chapter 12 Reproduction in human,中
uterus,子宫,女性孕育胚胎的肌性器官（内壁为子宫内膜）,Chapter 12 Reproduction in human,中
cervix,子宫颈,子宫下端连接阴道的狭窄部分,Chapter 12 Reproduction in human,高
urinary bladder,膀胱,见前文描述,Chapter 12 Reproduction in human,中
vagina,阴道,女性性交器官和胎儿产出通道,Chapter 12 Reproduction in human,中
fertilization,受精,精子与卵细胞结合形成受精卵的过程,Chapter 12 Reproduction in human,中
fusion,融合,细胞或分子结合的过程（如精卵融合）,Chapter 12 Reproduction in human,高
gamete,配子,生殖细胞（精子或卵细胞，单倍体）,Chapter 12 Reproduction in human,中
sperm,精子,男性配子（具鞭毛，可游动）,Chapter 12 Reproduction in human,低
egg,卵子,女性配子（含丰富营养，体积较大）,Chapter 12 Reproduction in human,低
zygote,合子,受精卵（ diploid，发育成新个体）,Chapter 12 Reproduction in human,中
adaptive,适应性,有利于生存和繁殖的特征,Chapter 12 Reproduction in human,中
flagellum,鞭毛,细胞的长鞭状结构（如精子尾部用于运动）,Chapter 12 Reproduction in human,高
embryo,胚胎,受精卵发育的早期阶段（通常指怀孕前8周）,Chapter 12 Reproduction in human,中
acrosome,顶体,精子头部的结构（含酶，帮助穿透卵细胞）,Chapter 12 Reproduction in human,高
fetus,胎儿,胚胎发育的后期阶段（怀孕8周后）,Chapter 12 Reproduction in human,中
placenta,胎盘,连接母体和胎儿的器官（物质交换场所）,Chapter 12 Reproduction in human,中
umbilical cord,脐带,连接胎儿和胎盘的管道（含血管）,Chapter 12 Reproduction in human,中
amniotic sac,羊膜囊,包裹胎儿的膜囊（内含羊水）,Chapter 12 Reproduction in human,高
amniotic fluid,羊水,羊膜囊内的液体（保护胎儿，缓冲压力）,Chapter 12 Reproduction in human,高
menstrual cycle,月经周期,女性生殖周期（约28天，包括排卵和子宫内膜脱落）,Chapter 12 Reproduction in human,中
progesterone,孕酮,维持妊娠的激素（由卵巢黄体分泌）,Chapter 12 Reproduction in human,高
gestation period,孕期,从受孕到分娩的时间（人类约40周）,Chapter 12 Reproduction in human,中
FSH,促卵泡生成素,促进卵泡发育的激素（由垂体分泌）,Chapter 12 Reproduction in human,高
LH,促黄体生成素,促进排卵和黄体形成的激素（由垂体分泌）,Chapter 12 Reproduction in human,高
adolescence,青春期,从童年到成年的过渡阶段（性成熟开始）,Chapter 12 Reproduction in human,低
puberty,青春期,同adolescence（更侧重性发育）,Chapter 12 Reproduction in human,低
Chromosome,染色体,见前文描述（含DNA和蛋白质，携带遗传信息）,Chapter 13 Inheritance,中
Chromatid,染色单体,复制后染色体的两条姐妹结构（由着丝粒连接）,Chapter 13 Inheritance,高
mitosis,有丝分裂,体细胞分裂方式（产生两个基因相同的子细胞）,Chapter 13 Inheritance,中
meiosis,减数分裂,生殖细胞分裂方式（产生四个单倍体配子）,Chapter 13 Inheritance,中
haploid,单倍体,细胞含一套染色体（如配子，n）,Chapter 13 Inheritance,中
diploid,二倍体,细胞含两套染色体（如体细胞，2n）,Chapter 13 Inheritance,中
alleles,等位基因,同一基因的不同形式（位于同源染色体相同位置）,Chapter 13 Inheritance,中
homologous chromosome,同源染色体,形态和基因位置相同的一对染色体（分别来自父母）,Chapter 13 Inheritance,高
nonhomologous chromosome,非同源染色体,形态和基因位置不同的染色体,Chapter 13 Inheritance,高
phenotype,表型,生物体表现出的性状（如肤色、血型）,Chapter 13 Inheritance,中
genotype,基因型,生物体的基因组成（如GG、Gg、gg）,Chapter 13 Inheritance,中
dominant allele,显性基因,决定显性性状的等位基因（如G，掩盖隐性基因）,Chapter 13 Inheritance,中
recessive allele,隐性基因,决定隐性性状的等位基因（如g，需纯合才表现）,Chapter 13 Inheritance,中
codominance alleles,共显性基因,两个等位基因均表现性状（如AB血型的IA和IB）,Chapter 13 Inheritance,高
heterozygous,杂合子,基因型含两个不同等位基因（如Gg）,Chapter 13 Inheritance,中
homozygous,纯合子,基因型含两个相同等位基因（如GG或gg）,Chapter 13 Inheritance,中
genetic diagram,基因图谱,用符号表示遗传杂交过程的图示,Chapter 13 Inheritance,高
sex-linked genes,性连锁基因,位于性染色体（X或Y）上的基因（如色盲基因在X染色体）,Chapter 13 Inheritance,高
test crosses,测交,用隐性纯合子与未知基因型个体杂交（判断其基因型）,Chapter 13 Inheritance,高
first filial generation,子一代,亲代杂交后的第一代 offspring（F1）,Chapter 13 Inheritance,高
sex determination,性别决定,由性染色体（如XY或XX）决定生物性别的机制,Chapter 13 Inheritance,中
sex linage,伴性遗传,见sex-linked genes（可能为拼写错误，应为sex linkage）,Chapter 13 Inheritance,高
inherited,遗传,性状由基因传递给后代的过程,Chapter 13 Inheritance,低
monohybrid crosses,单基因杂交,涉及一对等位基因的杂交实验,Chapter 13 Inheritance,中
express,表达,基因指导合成蛋白质并表现性状的过程,Chapter 13 Inheritance,中
messenger RNA (mRNA),信使RNA,携带DNA遗传信息到核糖体的RNA,Chapter 13 Inheritance,中
stem cells,干细胞,具有分裂和分化能力的未特化细胞,Chapter 13 Inheritance,中
adaptive feature,适应性特征,有助于生物生存和繁殖的特性（如保护色）,Chapter 14 Variation and selection,中
continuous variation,连续变异,性状表现为连续的梯度（如身高、体重）,Chapter 14 Variation and selection,中
discontinuous variation,不连续变异,性状表现为离散的类别（如血型、性别）,Chapter 14 Variation and selection,中
hydrophyte,水生植物,生长在水中或潮湿环境的植物,Chapter 14 Variation and selection,高
selection pressure,选择压力,环境对特定性状的筛选作用（促进适应环境的性状保留）,Chapter 14 Variation and selection,中
selective breeding,选择育种,人工选择具有优良性状的个体繁殖（如培育高产作物）,Chapter 14 Variation and selection,中
Movement,运动,生物体的位置变化或内部结构活动,Chapter 15 Classification,低
Respiration,呼吸,生物体获取能量的过程（包括有氧和无氧呼吸）,Chapter 15 Classification,低
Sensitivity,敏感性,生物体对刺激作出反应的能力,Chapter 15 Classification,低
Growth,生长,生物体体积或细胞数量的增加,Chapter 15 Classification,低
Reproduction,繁殖,产生后代的过程（有性或无性）,Chapter 15 Classification,低
Excretion,排泄,排出代谢废物的过程（如二氧化碳、尿素）,Chapter 15 Classification,低
Nutrition,营养,获取和利用食物的过程,Chapter 15 Classification,低
organism,有机体/生物,具有生命特征的个体,Chapter 15 Classification,低
metabolic reaction,新陈代谢反应,生物体内所有化学反应的总和,Chapter 15 Classification,中
fertile,肥沃的/可生育的,此处指可产生后代的能力,Chapter 15 Classification,中
kingdom,界,生物分类的最高等级（如动物界、植物界）,Chapter 15 Classification,低
genus,属,生物分类的等级（介于科和种之间）,Chapter 15 Classification,中
species,种,生物分类的基本单位（能相互交配产生可育后代）,Chapter 15 Classification,低
binomial system,双名法,生物命名法（由属名+种名组成，如Homo sapiens）,Chapter 15 Classification,中
dichotomous key,二分法检索表,用于鉴定生物种类的工具（通过成对特征区分）,Chapter 15 Classification,高
fungus,真菌,一类异养生物（如蘑菇、酵母菌，细胞壁含几丁质）,Chapter 15 Classification,中
hyphae,菌丝,真菌的丝状结构（组成菌体）,Chapter 15 Classification,高
spores,孢子,真菌或植物的繁殖体（单细胞或多细胞）,Chapter 15 Classification,中
dicotyledons,双子叶植物,种子具两片子叶的植物（如豆类、玫瑰）,Chapter 15 Classification,中
monocotyledons,单子叶植物,种子具一片子叶的植物（如小麦、玉米）,Chapter 15 Classification,中
mammary glands,乳腺,哺乳动物分泌乳汁的腺体,Chapter 15 Classification,中
pinna,耳朵,外耳的可见部分（收集声波）,Chapter 15 Classification,高
placenta,胎盘,见前文描述（此处指哺乳动物的胎儿-母体交换器官）,Chapter 15 Classification,中
classification,分类学,对生物进行分类的科学,Chapter 15 Classification,中
Vertebrate,脊椎动物,具有脊柱的动物（如鱼类、鸟类）,Chapter 15 Classification,低
Invertebrate,无脊椎动物,无脊柱的动物（如昆虫、软体动物）,Chapter 15 Classification,低
Annelids,环节动物,身体分节的蠕虫（如蚯蚓、水蛭）,Chapter 15 Classification,高
Molluscs,软体动物,具柔软身体和外壳的动物（如蜗牛、章鱼）,Chapter 15 Classification,高
Nematodes,线虫类,圆柱形蠕虫（如蛔虫，多寄生）,Chapter 15 Classification,高
Arthropods,节肢动物,具外骨骼和分节附肢的动物（如昆虫、蜘蛛）,Chapter 15 Classification,中
Fish,鱼,水生脊椎动物（用鳃呼吸，具鳞片）,Chapter 15 Classification,低
Amphibians,两栖动物,水陆两栖脊椎动物（如青蛙、蝾螈）,Chapter 15 Classification,低
Reptiles,爬行动物,陆生脊椎动物（具鳞片，冷血）,Chapter 15 Classification,低
Birds,鸟,具羽毛和喙的脊椎动物（恒温，卵生）,Chapter 15 Classification,低
Mammals,哺乳动物,具毛发和乳腺的脊椎动物（多数胎生）,Chapter 15 Classification,低
Insect,昆虫,节肢动物的一类（身体分头胸腹，三对足）,Chapter 15 Classification,低
Crustaceans,甲壳动物,节肢动物的一类（如虾、蟹，具甲壳）,Chapter 15 Classification,高
Arachnids,蛛形纲动物,节肢动物的一类（如蜘蛛、蝎子，四对足）,Chapter 15 Classification,高
Myriapods,多足动物,节肢动物的一类（如蜈蚣、马陆，多对足）,Chapter 15 Classification,高
Primates,灵长目,哺乳动物的一目（如人类、猴子，具对生拇指）,Chapter 15 Classification,高
Morphology,形态学,研究生物形态和结构的学科,Chapter 15 Classification,高
Anatomy,解剖学,研究生物内部结构的学科,Chapter 15 Classification,高
Saprophytic,腐生的,以分解有机物为营养的生活方式（如腐生真菌）,Chapter 15 Classification,高
Endoskeleton,内骨骼,体内的骨骼系统（如哺乳动物的骨骼）,Chapter 15 Classification,中
Exoskeleton,外骨骼,体外的坚硬外壳（如昆虫的几丁质外壳）,Chapter 15 Classification,中
organic,有机的,含碳的化合物（如糖类、蛋白质）,Chapter 16 Plant nutrition,低
vitamin,维生素,见前文描述,Chapter 16 Plant nutrition,低
lamina,叶片,叶的扁平部分（进行光合作用的主要部位）,Chapter 16 Plant nutrition,中
petiole,叶柄,连接叶片和茎的结构,Chapter 16 Plant nutrition,高
vein,叶脉,叶片中的维管束（运输水、营养和支持叶片）,Chapter 16 Plant nutrition,中
epidermis,表皮,见前文描述（此处指叶片表皮）,Chapter 16 Plant nutrition,中
cuticle,角质层,叶片表面的蜡质层（减少水分蒸发）,Chapter 16 Plant nutrition,中
stomata,气孔,叶片表面的小孔（控制气体交换和蒸腾作用）,Chapter 16 Plant nutrition,中
air space,气室,叶肉中的空隙（储存气体，利于气体交换）,Chapter 16 Plant nutrition,高
guard cell,保卫细胞,控制气孔开闭的肾形细胞,Chapter 16 Plant nutrition,中
mesophyll,叶肉,叶片内的光合组织（包括栅栏组织和海绵组织）,Chapter 16 Plant nutrition,中
palisade mesophyll,栅栏组织,叶肉上层紧密排列的细胞（含大量叶绿体）,Chapter 16 Plant nutrition,高
palisade cell,栅栏细胞,构成栅栏组织的细胞,Chapter 16 Plant nutrition,高
spongy mesophyll,海绵组织,叶肉下层疏松排列的细胞（含气孔下腔）,Chapter 16 Plant nutrition,高
spongy cell,海绵细胞,构成海绵组织的细胞,Chapter 16 Plant nutrition,高
xylem,木质部,植物体内运输水分和无机盐的组织（含导管）,Chapter 16 Plant nutrition,中
phloem,韧皮部,植物体内运输有机物的组织（含筛管）,Chapter 16 Plant nutrition,中
vascular bundle,维管束,木质部和韧皮部组成的束状结构,Chapter 16 Plant nutrition,中
destarch,脱淀粉,通过黑暗处理去除植物叶片中的淀粉,Chapter 16 Plant nutrition,高
limiting factor,限制因素,制约反应速率的因素（如光合作用中的光照强度）,Chapter 16 Plant nutrition,中
chlorophyll,叶绿素,见前文描述,Chapter 16 Plant nutrition,中
photosynthesis,光合作用,植物利用光能合成有机物的过程,Chapter 16 Plant nutrition,低
sucrose,蔗糖,见前文描述,Chapter 16 Plant nutrition,中
arbitrary units,任意单位,实验中使用的无特定物理意义的单位,Chapter 16 Plant nutrition,高
lignin,木质素,植物细胞壁中的坚硬物质（增强木质部支持力）,Chapter 17 Transport in plant,高
phloem,韧皮部,见前文描述,Chapter 17 Transport in plant,中
xylem,木质部,见前文描述,Chapter 17 Transport in plant,中
sieve plate,筛板,筛管分子末端的多孔结构（允许物质通过）,Chapter 17 Transport in plant,高
sieve tube element,筛管分子,韧皮部中运输有机物的细胞（无细胞核）,Chapter 17 Transport in plant,高
companion cell,伴细胞,与筛管分子伴生的细胞（提供代谢支持）,Chapter 17 Transport in plant,高
cortex,皮层,根或茎的表皮与维管束之间的组织,Chapter 17 Transport in plant,高
stele,中柱,根或茎的中央维管组织区域,Chapter 17 Transport in plant,高
root tip,根尖,根的顶端部分（含分生组织，负责生长）,Chapter 17 Transport in plant,中
root cap,根冠,根尖的保护结构（分泌黏液，利于根在土壤中生长）,Chapter 17 Transport in plant,高
transpiration,蒸腾作用,植物通过叶片气孔散失水分的过程,Chapter 17 Transport in plant,中
stream,水流,此处指植物体内的水分运输流,Chapter 17 Transport in plant,高
potometer,蒸腾计,测量植物蒸腾速率的仪器,Chapter 17 Transport in plant,高
transpiration pull,蒸腾拉力,蒸腾作用产生的向上拉力（促进水分运输）,Chapter 17 Transport in plant,高
translocation,转移,有机物在韧皮部中的运输过程,Chapter 17 Transport in plant,中
sink,库,植物中消耗或储存有机物质的部位（如果实、根）,Chapter 17 Transport in plant,高
source,源,植物中生产有机物质的部位（如叶片）,Chapter 17 Transport in plant,高
dormant,休眠的,植物或种子暂时停止生长的状态,Chapter 17 Transport in plant,中
tuber,块状根或茎,储存营养的膨大块状结构（如马铃薯块茎）,Chapter 17 Transport in plant,中
asexual reproduction,无性繁殖,不涉及配子结合的繁殖方式（如扦插、出芽）,Chapter 18 Reproduction in plants,中
sexual reproduction,有性繁殖,涉及配子结合的繁殖方式（产生受精卵）,Chapter 18 Reproduction in plants,中
chromosome,染色体,见前文描述,Chapter 18 Reproduction in plants,中
genetically identical,基因相同的,具有相同遗传物质的（如无性繁殖后代）,Chapter 18 Reproduction in plants,中
gene,基因,DNA上决定性状的基本单位,Chapter 18 Reproduction in plants,低
stem tuber,块茎,见前文描述（如马铃薯的地下茎）,Chapter 18 Reproduction in plants,中
gamete,配子,见前文描述,Chapter 18 Reproduction in plants,中
fertilization,受精,见前文描述,Chapter 18 Reproduction in plants,中
zygote,合子,见前文描述,Chapter 18 Reproduction in plants,中
diploid,二倍体,见前文描述,Chapter 18 Reproduction in plants,中
haploid,单倍体,见前文描述,Chapter 18 Reproduction in plants,中
meiosis,减数分裂,见前文描述,Chapter 18 Reproduction in plants,中
sperm,精子,见前文描述,Chapter 18 Reproduction in plants,低
egg cell,卵细胞,见前文描述,Chapter 18 Reproduction in plants,低
sepal,萼片,花的组成部分（保护未开放的花，通常绿色）,Chapter 18 Reproduction in plants,中
petal,花瓣,花的组成部分（吸引传粉者，常具颜色）,Chapter 18 Reproduction in plants,低
nectar,花蜜,花内分泌的含糖液体（吸引昆虫传粉）,Chapter 18 Reproduction in plants,中
nectary,蜜腺,花中分泌花蜜的结构,Chapter 18 Reproduction in plants,高
receptacle,花托,花的基部结构（支撑花的各部分）,Chapter 18 Reproduction in plants,高
stamen,雄蕊,花的雄性生殖器官（由花丝和花药组成）,Chapter 18 Reproduction in plants,中
filament,花丝,雄蕊的细长部分（支持花药）,Chapter 18 Reproduction in plants,高
anther,花药,雄蕊顶端产生花粉的结构,Chapter 18 Reproduction in plants,中
pollen sac,花粉囊,花药内产生花粉粒的腔室,Chapter 18 Reproduction in plants,高
pollen grain,花粉粒,雄配子体（含精子）,Chapter 18 Reproduction in plants,中
pollen tube,花粉管,花粉粒萌发形成的管状物（将精子输送到胚珠）,Chapter 18 Reproduction in plants,中
carpel,心皮,花的雌性生殖器官（由子房、花柱、柱头组成）,Chapter 18 Reproduction in plants,高
style,花柱,心皮的细长部分（连接柱头和子房）,Chapter 18 Reproduction in plants,高
stigma,柱头,心皮顶端接收花粉的结构,Chapter 18 Reproduction in plants,中
ovule,胚珠,子房内的结构（含卵细胞，受精后发育成种子）,Chapter 18 Reproduction in plants,中
ovary,子房,心皮基部膨大的部分（发育成果实）,Chapter 18 Reproduction in plants,中
placenta,胎座,子房内胚珠附着的部位,Chapter 18 Reproduction in plants,高
integument,珠被,胚珠的外层保护结构（发育成种皮）,Chapter 18 Reproduction in plants,高
micropyle,珠孔,胚珠上的小孔（花粉管进入的通道）,Chapter 18 Reproduction in plants,高
pollinator,传粉者,帮助植物传递花粉的生物（如蜜蜂、风）,Chapter 18 Reproduction in plants,中
self-pollination,自花传粉,花粉从同一朵花的花药传到柱头,Chapter 18 Reproduction in plants,中
cross-pollination,异花传粉,花粉从一朵花传到另一朵花的柱头,Chapter 18 Reproduction in plants,中
wind-pollination,风媒传粉,借助风力传递花粉的方式,Chapter 18 Reproduction in plants,中
testa,外种皮,种子的坚硬外层（保护胚和胚乳）,Chapter 18 Reproduction in plants,高
radicle,胚根,种子中发育成根的部分,Chapter 18 Reproduction in plants,中
plumule,胚芽,种子中发育成茎和叶的部分,Chapter 18 Reproduction in plants,中
hilum,种脐,种子上连接胚珠的痕迹（如豆类种子的疤痕）,Chapter 18 Reproduction in plants,高
dispersal,（种子）传播,种子远离母体的过程（通过风、动物等）,Chapter 18 Reproduction in plants,中
breed,繁育,培育具有特定性状的生物品种,Chapter 18 Reproduction in plants,中
germination,发芽,种子发育成幼苗的过程,Chapter 18 Reproduction in plants,中
ecology,生态学,研究生物与环境相互关系的学科,Chapter 19 Organisms and their environment,低
ecosystem,生态系统,生物群落及其生存环境的总和,Chapter 19 Organisms and their environment,低
habitat,栖息地,生物生存的具体环境（如森林、草原）,Chapter 19 Organisms and their environment,低
population,种群,同一区域内同种生物的所有个体,Chapter 19 Organisms and their environment,低
community,群落,同一区域内所有生物种群的集合,Chapter 19 Organisms and their environment,低
food chain,食物链,生物之间通过捕食关系形成的链状结构,Chapter 19 Organisms and their environment,低
food web,食物网,多条食物链交织形成的复杂网络,Chapter 19 Organisms and their environment,中
trophic level,营养级,食物链中的各个环节（如生产者、消费者）,Chapter 19 Organisms and their environment,中
consumer,消费者,以其他生物为食的生物（如动物）,Chapter 19 Organisms and their environment,低
producer,生产者,通过光合作用制造有机物的生物（如植物）,Chapter 19 Organisms and their environment,低
decomposer,分解者,分解有机物的生物（如细菌、真菌）,Chapter 19 Organisms and their environment,低
herbivore,食草动物,以植物为食的动物,Chapter 19 Organisms and their environment,低
carnivore,食肉动物,以其他动物为食的动物,Chapter 19 Organisms and their environment,低
predator,捕食者,捕食其他生物的动物,Chapter 19 Organisms and their environment,中
prey,被捕食者,被其他生物捕食的生物,Chapter 19 Organisms and their environment,中
energy flow,能量流动,生态系统中能量的传递过程（单向递减）,Chapter 19 Organisms and their environment,中
energy loss,能量损耗,能量在传递过程中的散失（如呼吸作用散热）,Chapter 19 Organisms and their environment,中
pyramid of biomass,生物量金字塔,按营养级生物量绘制的金字塔形图,Chapter 19 Organisms and their environment,高
nitrogen fixation,固氮作用,将大气中的氮气转化为含氮化合物的过程,Chapter 19 Organisms and their environment,高
nitrification,硝化作用,将氨转化为硝酸盐的过程（由硝化细菌完成）,Chapter 19 Organisms and their environment,高
nitrifying bacteria,硝化细菌,参与硝化作用的细菌,Chapter 19 Organisms and their environment,高
denitrifying bacteria,反硝化细菌,将硝酸盐转化为氮气的细菌,Chapter 19 Organisms and their environment,高
birth rate,出生率,单位时间内新个体产生的比率,Chapter 19 Organisms and their environment,中
death rate,死亡率,单位时间内个体死亡的比率,Chapter 19 Organisms and their environment,中
immigration,迁入,个体进入种群的过程,Chapter 19 Organisms and their environment,中
emigration,迁出,个体离开种群的过程,Chapter 19 Organisms and their environment,中
sigmoid growth curve,S型生长曲线,种群数量先指数增长后稳定的曲线,Chapter 19 Organisms and their environment,高
lag phase,迟滞期,种群生长初期的缓慢增长阶段,Chapter 19 Organisms and their environment,高
log phase,对数生长期,种群数量快速增长的阶段,Chapter 19 Organisms and their environment,高
exponential phase,指数生长期,同log phase,Chapter 19 Organisms and their environment,高
stationary phase,稳定期,种群数量达到环境容纳量的阶段,Chapter 19 Organisms and their environment,高
death phase,死亡期,种群数量下降的阶段,Chapter 19 Organisms and their environment,高
oscillate,震荡,种群数量波动变化,Chapter 19 Organisms and their environment,高
biofuels,生物燃料,由生物材料制成的燃料（如乙醇、生物柴油）,Chapter 20 Biotechnology and genetic,中
pectin,果胶,植物细胞壁中的多糖（用于制作果冻）,Chapter 20 Biotechnology and genetic,高
